Prep	Cast	Spell	Sch	Sub	Descriptor	Comp	Cast	Range	Target/Effect	Duration	Save	SR	Description	Book	pg	B	C	D	P	R	W	O
		Magic Circle against Law	abj		chaotic	V,S,M/DF	1std	touch	10-ft-radius emanation from touched creature	10 min/lvl	will neg (h/l)	n; see text	As protection spells, but 10-ft. radius and 10 min./level.	PHB	250		3				3	
		Magic Fang	tran			V,S,DF	1std	touch	living creature touched	1 min/lvl	will neg (h/l)	y (h/l)	One natural weapon of subject creature gets +1 on attack and damage rolls.	PHB	250			1		1		
		Magic Fang, Greater	tran			V,S,DF	1std	close	one living creature	1 hr/lvl	will neg (h/l)	y (h/l)	One natural weapon of subject creature gets +1/three levels on attack and damage rolls (max +5).	PHB	250			3		3		
		Magic Jar	nec			V,S,F	1std	med	one creature	1 hr/lvl or until you return to your body	will neg; see text	y	Enables possession of another creature.	PHB	250						5	
		Magic Missile	evo		force	V,S	1std	med	up to five creatures, no two of which can be more than 15 ft apart	instant	-	y	1d4+1 damage; +1 missile per two levels above 1st (max 5).	PHB	251						1	
		Magic Mouth	ill	glamer		V,S,M	1std	close	one creature or obj	perm until dis	will neg (obj)	y (obj)	Speaks once when triggered.	PHB	251	1					2	
		Magic Stone	tran			V,S,DF	1std	touch	up to three pebbles touched	30 min or until dis	will neg (h/l, obj)	y (h/l, obj)	Three stones gain +1 on attack, deal 1d6 +1 damage.	PHB	251		1	1				
		Magic Vestment	tran			V,S,DF	1std	touch	armor or shield touched	1 hr/lvl	will neg (h/l, obj)	y (h/l, obj)	Armor or shield gains +1 enhancement per four levels.	PHB	251		3					
		Magic Weapon	tran			V,S,DF	1std	touch	weapon touched	1 min/lvl	will neg (h/l, obj)	y (h/l, obj)	Weapon gains +1 bonus.	PHB	251		1		1		1	
		Magic Weapon, Greater	tran			V,S,M/DF	1std	close	one weapon or fifty projectiles (all of which must be in contact with each other at the time of casting)	1 hr/lvl	will neg (h/l, obj)	y (h/l, obj)	+1 bonus/four levels (max +5).	PHB	251		4		3		3	
		Major Creation	con	creation		V,S,M	10min	close	unattended, nonmagical obj of matter, up to 1 cu. ft/level	see text	-	n	As minor creation, plus stone and metal.	PHB	252						5	
		Major Image	ill	figment		V,S,F	1std	long	visual figment that cannot extend beyond four 10-ft cubes + one 10-ft cube/level (s)	(c) + 3 rds	will disbelief (if interacted with)	n	As silent image, plus sound, smell and thermal effects.	PHB	252	3					3	
		Make Whole	tran			V,S	1std	close	one obj of up to 10 cu. ft/ level	instant	will neg (h/l, obj)	y (h/l, obj)	Repairs an object.	PHB	252		2					
		Mark of Justice	nec			V,S,DF	10min	touch	creature touched	perm; see text	-	y	Designates action that will trigger curse on subject.	PHB	252		5		4			
		Maze	con	teleportation		V,S	1std	close	one creature	see text	-	y	Traps subject in extradimensional maze.	PHB	252						8	
		Meld into Stone	tran		earth	V,S,DF	1std	personal	you	10 min/lvl			You and your gear merge with stone.	PHB	252		3	3				
		Melf's Acid Arrow	con		acid	V,S,M,F	1std	long	one arrow of acid	1 rd + 1 rd/3 lvls	-	n	Ranged touch attack; 2d4 damage for 1 round +1 round/three levels.	PHB	253						2	
		Mending	tran			V,S	1std	10 ft	one obj of up to 1 lb.	instant	will neg (h/l, obj)	y (h/l, obj)	Makes minor repairs on an object.	PHB	253	0	0	0			0	
		Mental Pinnacle	tran			V,S,M	1std	personal	you	1 rd/lvl			You gain the mental powers of a psion.	PHB							6	
		Message	tran		language-dependent	V,S,F	1std	med	one creature/level	10 min/lvl	-	n	Whispered conversation at distance.	PHB	253	0					0	
		Meteor Swarm	evo		fire	V,S	1std	long	four 40-ft-radius spreads; see text	instant	- or ref ½; see text	y	Four exploding spheres each deal 6d6 fire damage.	PHB	253						9	
		Mind Blank	abj			V,S	1std	close	one creature	1 day	will neg (h/l)	y (h/l)	Subject is immune to mental/emotional magic and scrying.	PHB	253						8	
		Mind Fog	ench	compulsion	mind-affecting	V,S	1std	med	fog spreads in 20-ft radius, 20 ft high	30 min and 2d6 rds; see text	will neg	y	Subjects in fog get -10 to Wis and Will checks.	PHB	253	5					5	
		Minor Creation	con	creation		V,S,M	1min	0 ft	unattended, nonmagical obj of nonliving plant matter, up to 1 cu. ft/level	1 hr/lvl (d)	-	n	Creates one cloth or wood object.	PHB	253						4	
		Minor Image	ill	figment		V,S,F	1std	long	visual figment that cannot extend beyond four 10-ft cubes + one 10-ft cube/level (s)	(c) + 2 rds	will disbelief (if interacted with)	n	As silent image, plus some sound.	PHB	254	2					2	
		Miracle	evo			V,S,XP,text	1std	see text	see text	see text	see text	y	Requests a deity's intercession.	PHB	254		9					
		Mirage Arcana	ill	glamer		V,S	1std	long	one 20-ft cube/level (s)	(c) + 1 hr/lvl (d)	will disbelief (if interacted with)	n	As hallucinatory terrain, plus structures.	PHB	254	5					5	
		Mirror Image	ill	figment		V,S	1std	personal; see text	you	1 min/lvl (d)			Creates decoy duplicates of you (1d4 +1 per three levels, max 8).	PHB	254	2					2	
		Misdirection	ill	glamer		V,S	1std	close	one creature or obj, up to a 10-ft cube in size	1 hr/lvl	- or will neg; see text	n	Misleads divinations for one creature or object.	PHB	254	2					2	
		Mislead	ill	figment	glamer		s	1 standard action	target/effect	you/one illusory double	1 round/level (d) & concentration + 3 rounds; see text	nne or will disbelief (if interacted with); see text	No	PHB	255							
		Modify Memory	ench	compulsion	mind-affecting	V,S	1rd;seetext	close	one living creature	perm	will neg	y	Changes 5 minutes of subjects memories.	PHB	255	4						
		Moment of Prescience	div			V,S	1std	personal	you	1 hr/lvl or until dis			You gain insight bonus on single attack roll, check, or save.	PHB	255						8	
		Mordenkainen's Disjunction	abj			V	1std	close	all magical effects and magic items within a 40-ft-radius burst	instant	will neg (obj)	n	Dispels magic, disenchants magic items.	PHB	255						9	
		Mordenkainen's Faithful Hound	con	creation		V,S,M	1std	close	phantom watchdog	1 day	-	n	Phantom dog can guard, attack.	PHB	255						5	
		Mordenkainen's Lucubration	tran			V,S	1std	personal	you	instant			Wizard only. Recalls spell of 5th level or lower.	PHB	255							
		Mordenkainen's Magnificent Mansion	con	creation		V,S,F/DF	1std	close	extradimensional mansion, up to three 10-ft cubes/level (s)	2 hrs/lvl (d)	-	n	Door leads to extradimensional mansion.	PHB	255						7	
		Mordenkainen's Private Sanctum	abj			V,S,M	10min	close	30-ft cube/level (s)	1 day (d)	-	n	Prevents anyone from viewing or scrying an area for 24 hours.	PHB	255						5	
		Mordenkainen's Sword	evo		force	V,S,F	1std	close	one sword	1 rd/lvl (d)	-	y	Floating magic blade strikes opponents.	PHB	255						7	
		Mount	con	summoning		V,S,M	1rd	close	one mount	2 hrs/lvl (d)	-	n	Summons riding horse for 2 hours/level.	PHB	256						1	
		Move Earth	tran		earth	V,S,M	seetext	long	dirt in an area up to 750 ft square and up to 10 ft deep (s)	instant	-	n	Digs trenches and builds hills.	PHB	257			6			6	
		Neutralize Poison	con	healing		V,S,M/DF	1std	touch	creature or obj of up to 1 cu. ft/level touched	10 min/lvl	will neg (h/l, obj)	y (h/l, obj)	Immunizes subject against poison, detoxifies venom in or on subject.	PHB	257	4	4	3	4	3		
		Nightmare	ill	phantasm	mind-affecting, evil	V,S	10min	unlimited	one living creature	instant	will neg; see text	y	Sends vision dealing 1d10 damage, fatigue.	PHB	257	5					5	
		Nondetection	abj			V,S,M	1std	touch	creature or obj touched	1 hr/lvl	will neg (h/l, obj)	y (h/l, obj)	Hides subject from divination, scrying.	PHB	257					4	3	
		Nystul's Magic Aura	ill	glamer		V,S,F	1std	touch	one touched obj weighing up to 5 lb./level	1 day/lvl (d)	-; see text	n	Alters objects magic aura.	PHB	257	1					1	
		Obscure Object	abj			V,S,M/DF	1std	touch	one obj touched of up to 100 lb./level	8 hrs (d)	will neg (obj)	y (obj)	Masks object against scrying.	PHB	258	1	3				2	
		Obscuring Mist	con	creation		V,S	1std	20 ft	cloud spreads in 20-ft radius from you, 20 ft high	1 min/lvl	-	n	Fog surrounds you.	PHB	258		1	1			1	
		Open/Close	tran			V,S,F	1std	close	obj weighing up to 30 lb. or portal that can be opened or closed	instant	will neg (obj)	y (obj)	Opens or closes small or light things.	PHB	258	0					0	
		Order's Wrath	evo		lawful	V,S	1std	med	nonlawful creatures within a burst that fills a 30-ft cube	instant (1 rd); see text	will part; see text	y	Damages and dazes chaotic creatures.	PHB	258							
		Otiluke's Freezing Sphere	evo		cold	V,S,F	1std	long	see text	instant or 1 rd/lvl; see text	ref ½; see text	y	Freezes water or deals cold damage.	PHB	258						6	
		Otiluke's Resilient Sphere	evo		force	V,S,M	1std	close	1-ft-diameter/level sphere, centered around a creature	1 min/lvl (d)	ref neg	y	Force globe protects but traps one subject.	PHB	258						4	
		Otiluke's Telekinetic Sphere	evo		force	V,S,M	1std	close	1-ft-diameter/level sphere, centered around creatures or objs	1 min/lvl (d)	ref neg (obj)	y (obj)	As resilient sphere, but you move sphere telekinetically.	PHB	259						8	
		Otto's Irresistible Dance	ench	compulsion	mind-affecting	V	1std	touch	living creature touched	1d4+1 rds	-	y	Forces subject to dance.	PHB	259	6					8	
		Overland Flight	tran			V,S	1std	personal	you	1 hr/lvl	will neg (h/l)	y (h/l)	You fly at a speed of 40 ft. and can hustle over long distances.	PHB	259						5	
		Owl's Wisdom	tran			V,S,M/DF	1std	touch	creature touched	1 min/lvl	will neg (h/l)	y	Subject gains +4 to Wis for 1 min./level.	PHB	259		2	2	2	2	2	
		Owl's Wisdom, Mass	tran			V,S,M/DF	1std	close	one creature/level, no two of which can be more than 30 ft apart	1 min/lvl	will neg (h/l)	y	As owl's wisdom, affects one subject/level.	PHB	259		6	6			6	
		Pass without Trace	tran			V,S,DF	1std	touch	one creature/level touched	1 hr/lvl (d)	will neg (h/l)	y (h/l)	One subject/level leaves no tracks.	PHB	259			1		1		
		Passwall	tran			V,S,M	1std	touch	5 ft by 8 ft opening, 10 ft deep plus 5 ft deep per three additional levels	1 hr/lvl (d)	-	n	Creates passage through wood or stone wall.	PHB	259						5	
		Permanency	uni			V,S,XP	2rds	see text	see text	perm; see text	-	n	Makes certain spells permanent.	PHB	259						5	
		Permanent Image	ill	figment		V,S,M	1std	long	figment that cannot extend beyond a 20-ft cube + one 10-ft cube/level (s)	perm (d)	will disbelief (if interacted with)	n	Includes sight, sound, and smell.	PHB	260	6					6	
		Persistent Image	ill	figment		V,S,M	1std	long	visual figment that cannot extend beyond four 10-ft cubes + one 10-ft cube/level (s)	1 min/lvl (d)	will disbelief (if interacted with)	n	As major image, but no concentration required.	PHB	260	5					5	
		Phantasmal Killer	ill	phantasm	fear, mind-affecting	V,S	1std	med	one living creature	instant	will disbelief (if interacted with), then fort part; see text	y	Fearsome illusion kills subject or deals 3d6 damage.	PHB	260						4	
		Phantom Steed	con	creation		V,S	10min	0 ft	one quasi-real, horselike creature	1 hr/lvl (d)	-	n	Magic horse appears for 1 hour/level.	PHB	260	3					3	
		Phase Door	con	creation		V	1std	0 ft	ethereal 5 ft by 8 ft opening, 10 ft deep + 5 ft deep per three levels	1 usage/2 lvls	-	n	Creates an invisible passage through wood or stone.	PHB	261						7	
		Planar Ally	con	calling	varies	V,S,DF,XP	10min	close	one or two called elementals or outsiders, totaling no more than 12 hd, which cannot be more than 30 ft apart when they appear	instant	-	n	As lesser planar ally, but up to 12 HD.	PHB	261		6					
		Planar Ally, Greater	con	calling	varies	V,S,DF,XP	10min	close	up to three called elementals or outsiders, totaling no more than 18 hd, no two of which can be more than 30 ft apart when they appear.	instant	-	n	As lesser planar ally, but up to 18 HD.	PHB	261		8					
		Planar Ally, Lesser	con	calling	varies	V,S,DF,XP	10min	close	one called elemental or outsider of 6 hd or less	instant	-	n	Exchange services with a 6 HD extraplanar creature.	PHB	261		4					
		Planar Binding	con	calling		V,S	10min	close; see text	up to three elementals or outsiders, totaling no more than 12 hd, no two of which can be more than 30 ft apart when they appear	instant	will neg	n and y; see text	As lesser planar binding, but up to 12 HD.	PHB	261						6	
		Planar Binding, Greater	con	calling		V,S	10min	close; see text	up to three elementals or outsiders, totaling no more than 18 hd, no two of which can be more than 30 ft apart when they appear.	instant	will neg	n and y; see text	As lesser planar binding, but up to 18 HD.	PHB	261						8	
		Planar Binding, Lesser	con	calling		V,S	10min	close; see text	one elemental or outsider with 6hd or less	instant	will neg	n and y; see text	Traps extraplanar creature of 6 HD or less until it performs a task.	PHB	261						5	
		Plane Shift	con	teleportation		V,S,F	1std	touch	creature touched, or up to eight willing creatures joining hands	instant	will neg	y	As many as eight subjects travel to another plane.	PHB	262		5				7	
		Plant Growth	tran			V,S,DF	1std	see text	see text	instant	-	n	Grows vegetation, improves crops.	PHB	262			3		3		
		Poison	nec			V,S,DF	1std	touch	living creature touched	instant; see text	fort neg; see text	y	Touch deals 1d10 Con damage, repeats in 1 min.	PHB	262		4	3				
		Polar Ray	evo		cold	V,S,F/DF	1std	close	ray	instant	-	y	Ranged touch attack deals 1d6/level cold damage.	PHB	262						8	
		Polymorph	tran			V,S,M	1std	touch	willing living creature touched	1 min/lvl (d)	-	n	Gives one willing subject a new form.	PHB	263						4	
		Polymorph Any Object	tran			V,S,M/DF	1std	close	one creature, or one nonmagical obj of up to 100 cu. ft/level	see text	fort neg (obj); see text	y (obj)	Changes any subject into anything else.	PHB	263						8	
		Power Word Blind	ench	compulsion	mind-affecting	V	1std	close	one creature with 200 hp or less	see text	-	y	Blinds creature with 200 hp or less.	PHB	263						7	
		Power Word Kill	ench	compulsion	death, mind-affecting	V	1std	close	one living creature with 100 hp or less	instant	-	y	Kills one creature with 100 hp or less.	PHB	263						9	
		Power Word Stun	ench	compulsion	mind-affecting	V	1std	close	one creature with 150 hp or less	see text	-	y	Stuns creature with 150 hp or less.	PHB	263						8	
		Prayer	ench	compulsion	mind-affecting	V,S,DF	1std	40 ft	all allies and foes within a 40-ft-radius burst centered on you	1 rd/lvl	-	y	Allies +1 bonus on most rolls, enemies -1 penalty.	PHB	264		3		3			
		Prestidigitation	uni			V,S	1std	10 ft	see text	1 hr	see text	n	Performs minor tricks.	PHB	264	0					0	
		Prismatic Sphere	abj			V	1std	10 ft	10-ft-radius sphere centered on you	10 min/lvl (d)	see text	see text	As prismatic wall, but surrounds on all sides.	PHB	264						9	
		Prismatic Spray	evo			V,S	1std	60 ft	cone-shaped burst	instant	see text	y	Rays hit subjects with variety of effects.	PHB	264						7	
		Prismatic Wall	abj			V,S	1std	close	wall 4 ft/level wide, 2 ft/level high	10 min/lvl (d)	see text	see text	Wall’s colors have array of effects.	PHB	264						8	
		Produce Flame	evo		fire	V,S	1std	0 ft	flame in your palm	1 min/lvl (d)	-	y	1d6 damage +1/level, touch or thrown.	PHB	265			1				
		Programmed Image	ill	figment		V,S,M	1std	long	visual figment that cannot extend beyond a 20-ft cube + one 10-ft cube/level (s)	perm until triggered, then 1 rd/lvl	will disbelief (if interacted with)	n	As major image, plus triggered by event.	PHB	265	6					6	
		Project Image	ill	shadow		V,S,M	1std	med	one shadow duplicate	1 rd/lvl (d)	will disbelief (if interacted with)	n	Illusory double can talk and cast spells.	PHB	265	6					7	
		Protection from Arrows	abj			V,S,F	1std	touch	creature touched	1 hr/lvl or until dis	will neg (h/l)	y (h/l)	Subject immune to most ranged attacks.	PHB	266						2	
		Protection from Chaos	abj		lawful	V,S,M/DF	1std	touch	creature touched	1 min/lvl (d)	will neg (h/l)	n; see text	+2 to AC and saves, counter mind control, hedge out elementals and outsiders.	PHB	266		1		1		1	
		Protection from Energy	abj			V,S,DF	1std	touch	creature touched	10 min/lvl or until dis	fort neg (h/l)	y (h/l)	Absorb 12 points/level of damage from one kind of energy.	PHB	266		3	3		2	3	
		Protection from Evil	abj		good	V,S,M/DF	1std	touch	creature touched	1 min/lvl (d)	will neg (h/l)	n; see text	+2 to AC and saves, counter mind control, hedge out elementals and outsiders.	PHB	266		1		1		1	
		Protection from Good	abj		evil	V,S,M/DF	1std	touch	creature touched	1 min/lvl (d)	will neg (h/l)	n; see text	+2 to AC and saves, counter mind control, hedge out elementals and outsiders.	PHB	266		1				1	
		Protection from Law	abj		chaotic	V,S,M/DF	1std	touch	creature touched	1 min/lvl (d)	will neg (h/l)	n; see text	+2 to AC and saves, counter mind control, hedge out elementals and outsiders.	PHB	266		1				1	
		Protection from Spells	abj			V,S,M,F	1std	touch	up to one creature touched per four levels	10 min/lvl	will neg (h/l)	y (h/l)	Confers +8 resistance bonus.	PHB	266						8	
		Prying Eyes	div			V,S,M	1min	1 mi	ten or more levitating eyes	1 hr/lvl; see text (d)	-	n	1d4 +1/level floating eyes scout for you.	PHB	266						5	
		Prying Eyes, Greater	div			V,S,M	1min	1 mi	ten or more levitating eyes	1 hr/lvl; see text (d)	-	n	As prying eyes, but eyes have true seeing.	PHB	267						8	
		Psychic Turmoil	abj			V,S,M	1std	close	40-ft-radius emanation centered on a point in space	1 rd/lvl	will part; see text	y	Invisible field leeches psionic power points away.	PHB			5				5	
		Psychic Turmoil, Greater	abj			V,S,M	1std	close	40-ft-radius emanation centered on a point in space	1 rd/lvl	will part; see text	y	As psychic turmoil, but you gain power points as temporary hit points.	PHB			7				7	
		Purify Food and Drink	tran			V,S	1std	10 ft	1 cu. ft/level of contaminated food and water	instant	will neg (obj)	y (obj)	Purifies 1 cu. ft./level of food or water.	PHB	267		0	0				
		Pyrotechnics	tran			V,S,M	1std	long	one fire source, up to a 20-ft cube	1d4+1 rds, or 1d4+1 rds after creatures leave the smoke cloud; see text	will neg or fort neg; see text	y or n; see text	Turns fire into blinding light or choking smoke.	PHB	267	2					2	
		Quench	tran			V,S,DF	1std	med	one 20-ft cube/level (s) or one fire-based magic item	instant	- or will neg (obj)	n or y (obj)	Extinguishes nonmagical fires or one magic item.	PHB	267			3				
		Rage	ench	compulsion	mind-affecting	V,S	1std	med	one willing living creature per three levels, no two of which may be more than 30 ft apart	(c) + 1 rd/lvl (d)	-	y	Gives +2 to Str and Con, +1 on Will saves, -2 to AC.	PHB	268	2					3	
		Rainbow Pattern	ill	pattern		V,S,M,F,text	1std	med	colorful lights with a 20-ft-radius spread	(c) + 1 rd/lvl (d)	will neg	y	Lights fascinate 24 HD of creatures.	PHB	268	4					4	
		Raise Dead	con	healing	ectomancy	V,S,M,DF	1min	touch	dead creature touched	instant	-; see text	y (h/l)	Restores life to subject who died as long as one day/level ago.	PHB	268		5					
		Rary's Mnemonic Enhancer	tran			V,S,M,F	10min	personal	you	instant			Wizard only. Prepares extra spells or retains one just cast.	PHB	268							
		Rary's Telepathic Bond	div			V,S,M/DF	1std	close	you plus one willing creature per three levels, no two of which can be more than 30 ft apart	10 min/lvl (d)	-	n	Link lets allies communicate.	PHB	292						5	
		Ray of Enfeeblement	nec			V,S	1std	close	ray	1 min/lvl	-	y	Ray deals 1d6 +1 per two levels Str penalty.	PHB	269						1	
		Ray of Exhaustion	nec			V,S,M	1std	close	ray	1 min/lvl	fort part; see text	y	Ray makes subject exhausted.	PHB	269						3	
		Ray of Frost	evo		cold	V,S	1std	close	ray	instant	-	y	Ray deals 1d3 cold damage.	PHB	269						0	
		Read Magic	div			V,S,F	1std	personal	you	10 min/lvl			Read scrolls and spellbooks	PHB	269	0	0	0	1	1	0	
		Reduce Animal	tran			V,S	1std	touch	one willing animal of small, medium, large, or huge size	1 hr/lvl (d)	-	n	Shrinks one willing animal.	PHB	269			2		3		
		Reduce Person	tran			V,S,M	1rd	close	one humanoid creature	1 min/lvl (d)	fort neg	y	Humanoid creature halves in size.	PHB	269						1	
		Reduce Person, Mass	tran			V,S,M	1rd	close	one humanoid creature/level, no two of which can be more than 30 ft apart	1 min/lvl (d)	fort neg	y	Reduces several creatures.	PHB	269						4	
		Refuge	con	teleportation		V,S,M	1std	touch	obj touched	perm until dis	-	n	Alters item to transport its possessor to you.	PHB	269		7				9	
		Regenerate	con	healing		V,S,DF	3fullrds	touch	living creature touched	instant	fort neg (h/l)	y (h/l)	Subjects severed limbs grow back, cures 4d8 damage +1/level (max +35).	PHB	270		7	9				
		Reincarnate	tran		ectomancy	V,S,M,DF	10min	touch	dead creature touched	instant	-; see text	y (h/l)	Brings dead subject back in a random body.	PHB	270			4				
		Remove Blindness/Deafness	con	healing		V,S	1std	touch	creature touched	instant	fort neg (h/l)	y (h/l)	Cures normal or magical conditions.	PHB	270		3		3			
		Remove Curse	abj			V,S	1std	touch	creature or item touched	instant	will neg (h/l)	y (h/l)	Frees object or person from curse.	PHB	270	3	3		3		4	
		Remove Disease	con	healing		V,S	1std	touch	creature touched	instant	fort neg (h/l)	y (h/l)	Cures all diseases affecting subject.	PHB	271		3	3		3		
		Remove Fear	abj			V,S	1std	close	one creature plus one additional creature per four levels, no two of which can be more than 30 ft apart	10 min; see text	will neg (h/l)	y (h/l)	Suppresses fear or gives +4 on saves against fear for one subject + one per four levels.	PHB	271	1	1					
		Remove Paralysis	con	healing		V,S	1std	close	up to four creatures, no two of which can be more than 30 ft apart	instant	will neg (h/l)	y (h/l)	Frees one or more creatures from paralysis or slow effect.	PHB	271		2		2			
		Repel Metal or Stone	abj		earth	V,S	1std	60 ft	60-ft line from you	1 rd/lvl (d)	-	n	Pushes away metal and stone.	PHB	271			8				
		Repel Vermin	abj			V,S,DF	1std	10 ft	10-ft-radius emanation centered on you	10 min/lvl (d)	- or will neg; see text	y	Insects, spiders, and other vermin stay 10 ft. away.	PHB	271	4	4	4		3		
		Repel Wood	tran			V,S	1std	60 ft	60-ft line-shaped emanation from you	1 min/lvl (d)	-	n	Pushes away wooden objects.	PHB	271			6				
		Repulsion	abj			V,S,F/DF	1std	up to 10 ft/level	up to 10-ft-radius/level emanation centered on you	1 rd/lvl (d)	will neg	y	Creatures can't approach you.	PHB	271		7				6	
		Resist Energy	abj			V,S,DF	1std	touch	creature touched	10 min/lvl	fort neg (h/l)	y (h/l)	Ignores 10 (or more) points of damage/attack from specified energy type.	PHB	272		2	2	2	1	2	
		Resistance	abj			V,S,M/DF	1std	touch	creature touched	1 min	will neg (h/l)	y (h/l)	Subject gains +1 on saving throws.	PHB	272	0	0	0	1		0	
		Restoration	con	healing		V,S,M	3rds	touch	creature touched	instant	will neg (h/l)	y (h/l)	Restores level and ability score drains.	PHB	272		4		4			
		Restoration, Greater	con	healing		V,S,XP	10min	touch	creature touched	instant	will neg (h/l)	y (h/l)	As restoration, plus restores all levels and ability scores.	PHB	272		7					
		Restoration, Lesser	con	healing		V,S	3rds	touch	creature touched	instant	will neg (h/l)	y (h/l)	Dispels magical ability penalty or repairs 1d4 ability damage.	PHB	272		2	2	1			
		Resurrection	con	healing	ectomancy	V,S,M,DF	10min	touch	dead creature touched	instant	-; see text	y (h/l)	Fully restore dead subject.	PHB	272		7					
		Reverse Gravity	tran			V,S,M/DF	1std	med	up to one 10-ft cube per two levels (s)	1 rd/lvl (d)	-; see text	n	Objects and creatures fall upward.	PHB	273			8			7	
		Righteous Might	tran			V,S,DF	1std	personal	you	1 rd/lvl (d)			Your size increases, and you gain combat bonuses.	PHB	273		5					
		Rope Trick	tran			V,S,M	1std	touch	one touched piece of rope from 5 ft to 30 ft long	1 hr/lvl (d)	-	n	As many as eight creatures hide in extradimensional space.	PHB	273						2	
		Rusting Grasp	tran			V,S,DF	1std	touch	one nonmagical ferrous obj (or the volume of the obj within 3 ft of the touched point) or one ferrous creature	see text	-	n	Your touch corrodes iron and alloys.	PHB	273			4				
		Sanctuary	abj			V,S,DF	1std	touch	creature touched	1 rd/lvl	will neg	n	Opponents cant attack you, and you can't attack.	PHB	274		1					
		Scare	nec		fear, mind-affecting	V,S,M	1std	med	one living creature per three levels, no two of which can be more than 30 ft apart	1 rd/lvl or 1 rd; see text for cause fear	will part	y	Panics creatures of less than 6 HD.	PHB	274	2					2	
		Scintillating Pattern	ill	pattern	mind-affecting	V,S,M	1std	close	colorful lights in a 20-ft-radius spread	(c) + 2 rds	-	y	Twisting colors confuse, stun, or render unconscious.	PHB	274						8	
		Scorching Ray	evo		fire	V,S	1std	close	one or more rays	instant	-	y	Ranged touch attack deals 4d6 fire damage, +1 ray/four levels (max 3).	PHB	274						2	
		Screen	ill	glamer		V,S	10min	close	30-ft cube/level (s)	1 day	- or will disbelief (if interacted with); see text	n	Illusion hides area from vision, scrying.	PHB	274						8	
		Scrying	div	scrying		V,S,F,M/DF	1hr	see text	magical sensor	1 min/lvl	will neg	y	Spies on subject from a distance.	PHB	274	3	5	4			4	
		Scrying, Greater	div	scrying		V,S	1std	see text	magical sensor	1 hr/lvl	will neg	y	As scrying, but faster and longer.	PHB	275	6	7	7			7	
		Sculpt Sound	tran			V,S	1std	close	one creature or obj/level, no two of which can be more than 30 ft apart	1 hr/lvl (d)	will neg (obj)	y (obj)	Creates new sounds or changes existing ones.	PHB	275	3						
		Searing Light	evo			V,S	1std	med	ray	instant	-	y	Ray deals 1d8/two levels damage, more against undead.	PHB	275		3					
		Secret Page	tran			V,S,M	10min	touch	page touched, up to 3 sq. ft in size	perm	-	n	Changes one page to hide its real content.	PHB	275	3					3	
		See Invisibility	div			V,S,M	1std	personal	you	10 min/lvl (d)			Reveals invisible creatures or objects.	PHB	275	3					2	
		Seeming	ill	glamer		V,S	1std	close	one creature per two levels, no two of which can be more than 30 ft apart	12 hrs (d)	will neg or will disbelief (if interacted with)	y or n; see text	Changes appearance of one person per two levels.	PHB	275	5					5	
		Sending	evo			V,S,M/DF	10min	see text	one creature	1 rd; see text	-	n	Delivers short message anywhere, instantly.	PHB	275		4				5	
		Sepia Snake Sigil	con	creation	force	V,S,M	10min	touch	one touched book or written work	perm or until dis; until released or 1d4 days + 1 day/lvl; see text	ref neg	n	Creates text symbol that immobilizes reader.	PHB	276	3					3	
		Sequester	abj			V,S,M	1std	touch	one willing creature or obj (up to a 2-ft cube/level) touched	1 day/lvl (d)	- or will neg (obj)	n or y (obj)	Subject is invisible to sight and scrying; renders creature comatose.	PHB	276						7	
		Shades	ill	shadow		V,S	1std	see text	see text	see text	will disbelief (if interacted with); varies; see text	y; see text	As shadow conjuration, but up to 8th level and 80% real.	PHB	276						9	
		Shadow Conjuration	ill	shadow		V,S	1std	see text	see text	see text	will disbelief (if interacted with); varies; see text	y; see text	Mimics conjuring below 4th level, but only 20% real.	PHB	276	4					4	
		Shadow Conjuration, Greater	ill	shadow		V,S	1std	see text	see text	see text	will disbelief (if interacted with); varies; see text	y; see text	As shadow conjuration, but up to 6th level and 60% real.	PHB	276						7	
		Shadow Evocation	ill	shadow		V,S	1std	see text	see text	see text	will disbelief (if interacted with)	y	Mimics evocation of lower than 5th level, but only 20% real.	PHB	277	5					5	
		Shadow Evocation, Greater	ill	shadow		V,S	1std	see text	see text	see text	will disbelief (if interacted with)	y	As shadow evocation, but up to 7th level and 60% real.	PHB	277						8	
		Shadow Walk	ill	shadow		V,S	1std	touch	up to one touched creature/ level	1 hr/lvl (d)	will neg	y	Step into shadow to travel rapidly.	PHB	277	5					6	
		Shambler	con	creation		V,S	1std	med	three or more shambling mounds, no two of which can be more than 30 ft apart; see text	7 days or 7 months (d); see text	-	n	Summons 1d4+2 shambling mounds to fight for you.	PHB	277			9				
		Shapechange	tran			V,S,F	1std	personal	you	10 min/lvl (d)			Transforms you into any creature, and change forms once per round.	PHB	277			9			9	
		Shatter	evo		sonic	V,S,M/DF	1std	close	5-ft-radius spread; or one solid obj or one crystalline creature	instant	will neg (obj); will neg (obj) or fort ½; see text	y (obj)	Sonic vibration damages objects or crystalline creatures.	PHB	278	2	2				2	
		Shield	abj		force	V,S	1std	personal	you	1 min/lvl (d)			Invisible disc gives +4 to AC, blocks magic missiles.	PHB	278						1	
		Shield of Faith	abj			V,S,M	1std	touch	creature touched	1 min/lvl	will neg (h/l)	y (h/l)	Aura grants +2 or higher deflection bonus.	PHB	278		1					
