School	Name	Casting Time	Range	Components	Duration	Target	Saving Throw	 Spell Resistance	Level	Description	Print?
tran	Magic Fang, Greater	1 Standa Round action	Close (25 ft. + 5 ft./2 levels)	V,S,DF	1 hr/lvl	one living creature	will negates (h/l)	Yes, Harmless	 Drd 3	This spell functions like magic fang, except that the enhancement bonus on attack and damage rolls is +1 per four caster levels (maximum +5).@mynl@Alternatively, you may imbue all of the creature's natural weapons with a +1 enhancement bonus (regardless of your caster level).@mynl@Greater magic fang can be made permanent with a permanency spell.	true	One natural weapon of subject creature gets +1/three levels on attack and damage rolls (max +5).
nec	Magic Jar	1 Standa Round action	Medium (100 ft. + 10 ft./level)	V,S,F	1 hr/lvl or until you return to your body	one creature	will negates; see text	Yes	 Sor/Wiz 5	By casting magic jar, you place your soul in a gem or large crystal (known as the magic jar), leaving your body lifeless. Then you can attempt to take control of a nearby body, forcing its soul into the magic jar. You may move back to the jar (thereby returning the trapped soul to its body) and attempt to possess another body. The spell ends when you send your soul back to your own body, leaving the receptacle empty.@mynl@To cast the spell, the magic jar must be within spell range and you must know where it is, though you do not need line of sight or line of effect to it. When you transfer your soul upon casting, your body is, as near as anyone can tell, dead.@mynl@While in the magic jar, you can sense and attack any life force within 10 feet per caster level (and on the same plane of existence). You do need line of effect from the jar to the creatures. You cannot determine the exact creature types or positions of these creatures. In a group of life forces, you can sense a difference of 4 or more Hit Dice between one creature and another and can determine whether a life force is powered by positive or negative energy. (Undead creatures are powered by negative energy. Only sentient undead creatures have, or are, souls.)@mynl@You could choose to take over either a stronger or a weaker creature, but which particular stronger or weaker creature you attempt to possess is determined randomly.@mynl@Attempting to possess a body is a full-round action. It is blocked by protection from evil or a similar ward. You possess the body and force the creature's soul into the magic jar unless the subject succeeds on a Will save. Failure to take over the host leaves your life force in the magic jar, and the target automatically succeeds on further saving throws if you attempt to possess its body again.@mynl@If you are successful, your life force occupies the host body, and the host's life force is imprisoned in the magic jar. You keep your Intelligence, Wisdom, Charisma, level, class, base attack bonus, base save bonuses, alignment, and mental abilities. The body retains its Strength, Dexterity, Constitution, hit points, natural abilities, and automatic abilities. A body with extra limbs does not allow you to make more attacks (or more advantageous two-weapon attacks) than normal. You can't choose to activate the body's extraordinary or supernatural abilities. The creature's spells and spell-like abilities do not stay with the body.@mynl@As a standard action, you can shift freely from a host to the magic jar if within range, sending the trapped soul back to its body. The spell ends when you shift from the jar to your own body.@mynl@If the host body is slain, you return to the magic jar, if within range, and the life force of the host departs (it is dead). If the host body is slain beyond the range of the spell, both you and the host die. Any life force with nowhere to go is treated as slain.@mynl@If the spell ends while you are in the magic jar, you return to your body (or die if your body is out of range or destroyed). If the spell ends while you are in a host, you return to your body (or die, if it is out of range of your current position), and the soul in the magic jar returns to its body (or dies if it is out of range). Destroying the receptacle ends the spell, and the spell can be dispelled at either the magic jar or at the host's location.@mynl@Focus: A gem or crystal worth at least 100 gp.	true	Enables possession of another creature.
evo	Magic Missile	1 Standa Round action	Medium (100 ft. + 10 ft./level)	V,S	instant	up to five creatures, no two of which can be more than 15 ft apart	---	Yes	 Sor/Wiz 1	A missile of magical energy darts forth from your fingertip and strikes its target, dealing 1d4+1 points of force damage.@mynl@The missile strikes unerringly, even if the target is in melee combat or has less than total cover or total concealment. Specific parts of a creature can't be singled out. Inanimate objects are not damaged by the spell.@mynl@For every two caster levels beyond 1st, you gain an additional missile - two at 3rd level, three at 5th, four at 7th, and the maximum of five missiles at 9th level or higher. If you shoot multiple missiles, you can have them strike a single creature or several creatures. A single missile can strike only one creature. You must designate targets before you check for spell resistance or roll damage.	true	1d4+1 damage; +1 missile per two levels above 1st (max 5).
ill	Magic Mouth	1 Standa Round action	Close (25 ft. + 5 ft./2 levels)	V,S,M	permanent until dis	one creature or objects	will negates (objects)	Yes (objects)	Brd 1 Sor/Wiz 2	This spell imbues the chosen object or creature with an enchanted mouth that suddenly appears and speaks its message the next time a specified event occurs. The message, which must be twenty-five or fewer words long, can be in any language known by you and can be delivered over a period of 10 minutes. The mouth cannot utter verbal components, use command words, or activate magical effects. It does, however, move according to the words articulated; if it were placed upon a statue, the mouth of the statue would move and appear to speak. Of course, magic mouth can be placed upon a tree, rock, or any other object or creature.@mynl@The spell functions when specific conditions are fulfilled according to your command as set in the spell. Commands can be as general or as detailed as desired, although only visual and audible triggers can be used. Triggers react to what appears to be the case. Disguises and illusions can fool them. Normal darkness does not defeat a visual trigger, but magical darkness or invisibility does. Silent movement or magical silence defeats audible triggers. Audible triggers can be keyed to general types of noises or to a specific noise or spoken word. Actions can serve as triggers if they are visible or audible. A magic mouth cannot distinguish alignment, level, Hit Dice, or class except by external garb.@mynl@The range limit of a trigger is 15 feet per caster level, so a 6th-level caster can command a magic mouth to respond to triggers as far as 90 feet away. Regardless of range, the mouth can respond only to visible or audible triggers and actions in line of sight or within hearing distance.@mynl@Magic mouth can be made permanent with a permanency spell.@mynl@Material Component: A small bit of honeycomb and jade dust worth 10 gp.	true	Speaks once when triggered.
tran	Magic Stone	1 Standa Round action	touch	V,S,DF	30 min or until dis	up to three pebbles touched	will negates (h/l, objects)	Yes (h/l, objects)	 Clr 1 Drd 1	You transmute as many as three pebbles, which can be no larger than sling bullets, so that they strike with great force when thrown or slung. If hurled, they have a range increment of 20 feet. If slung, treat them as sling bullets (range increment 50 feet). The spell gives them a +1 enhancement bonus on attack and damage rolls. The user of the stones makes a normal ranged attack. Each stone that hits deals 1d6+1 points of damage (including the spell's enhancement bonus), or 2d6+2 points against undead.	true	Three stones gain +1 on attack, deal 1d6 +1 damage.
tran	Magic Vestment	1 Standa Round action	touch	V,S,DF	1 hr/lvl	armor or shield touched	will negates (h/l, objects)	Yes (h/l, objects)	 Clr 3	You imbue a suit of armor or a shield with an enhancement bonus of +1 per four caster levels (maximum +5 at 20th level).@mynl@An outfit of regular clothing counts as armor that grants no AC bonus for the purpose of this spell.	true	Armor or shield gains +1 enhancement per four levels.
tran	Magic Weapon	1 Standa Round action	touch	V,S,DF	1 min/lvl	weapon touched	will negates (h/l, objects)	Yes (h/l, objects)	 Clr 1 Pal 1 Sor/Wiz 1	Magic weapon gives a weapon a +1 enhancement bonus on attack and damage rolls. (An enhancement bonus does not stack with a masterwork weapon's +1 bonus on attack rolls.)@mynl@You can't cast this spell on a natural weapon, such as an unarmed strike (instead, see magic fang). A monk's unarmed strike is considered a weapon, and thus it can be enhanced by this spell.	true	Weapon gains +1 bonus.
tran	Magic Weapon, Greater	1 Standa Round action	Close (25 ft. + 5 ft./2 levels)	V,S,M/DF	1 hr/lvl	one weapon or fifty projectiles (all of which must be in contact with each other at the time of casting)	will negates (h/l, objects)	Yes (h/l, objects)	 Clr 4 Pal 3 Sor/Wiz 3	This spell functions like magic weapon, except that it gives a weapon an enhancement bonus on attack and damage rolls of +1 per four caster levels (maximum +5).@mynl@Alternatively, you can affect as many as fifty arrows, bolts, or bullets. The projectiles must be of the same kind, and they have to be together (in the same quiver or other container). Projectiles, but not thrown weapons, lose their transmutation when used. (Treat shuriken as projectiles, rather than as thrown weapons, for the purpose of this spell.)@mynl@Arcane Material Component: Powdered lime and carbon.	true	+1 bonus/four levels (max +5).
con	Major Creation	10min	Close (25 ft. + 5 ft./2 levels)	V,S,M	see text	unattended, nonmagical objects of matter, up to 1 cu. ft/level	---	NO	 Sor/Wiz 5	This spell functions like minor creation, except that you can also create an object of mineral nature: stone, crystal, metal, or the like. The duration of the created item varies with its relative hardness and rarity, as indicated on the following table.@mynl@Hardness and Rarity Examples - Duration@mynl@Vegetable matter - 2 hr./level@mynl@Stone, crystal, base metals - 1 hr./level@mynl@Precious metals - 20 min./level@mynl@Gems - 10 min./level@mynl@Rare metal* - 1 round/level@mynl@* Includes adamantine, alchemical silver, and mithral. You can't use major creation to create a cold iron item.	true	As minor creation, plus stone and metal.
ill	Major Image	1 Standa Round action	Long (400 ft. + 40 ft./level)	V,S,F	(c) + 3  Rounds	visual figment that cannot extend beyond four 10-ft cubes + one 10-ft cube/level (s)	will disbelief (if interacted with)	NO	Brd 3 Sor/Wiz 3	This spell functions like silent image, except that sound, smell, and thermal illusions are included in the spell effect. While concentrating, you can move the image within the range.@mynl@The image disappears when struck by an opponent unless you cause the illusion to react appropriately.	true	As silent image, plus sound, smell and thermal effects.
tran	Make Whole	1 Standa Round action	Close (25 ft. + 5 ft./2 levels)	V,S	instant	one objects of up to 10 cu. ft/ level	will negates (h/l, objects)	Yes (h/l, objects)	 Clr 2	This spell functions like mending, except that make whole completely repairs an object made of any substance, even one with multiple breaks, to be as strong as new. The spell does not restore the magical abilities of a broken magic item made whole, and it cannot mend broken magic rods, staffs, or wands. The spell does not repair items that have been warped, burned, disintegrated, ground to powder, melted, or vaporized, nor does it affect creatures (including constructs).	true	Repairs an object.
nec	Mark of Justice	10min	touch	V,S,DF	permanent; see text	creature touched	---	Yes	 Clr 5 Pal 4	You draw an indelible mark on the subject and state some behavior on the part of the subject that will activate the mark. When activated, the mark curses the subject. Typically, you designate some sort of criminal behavior that activates the mark, but you can pick any act you please. The effect of the mark is identical with the effect of bestow curse.@mynl@Since this spell takes 10 minutes to cast and involves writing on the target, you can cast it only on a creature that is willing or restrained.@mynl@Like the effect of bestow curse, a mark of justice cannot be dispelled, but it can be removed with a break enchantment, limited wish, miracle, remove curse, or wish spell. Remove curse works only if its caster level is equal to or higher than your mark of justice caster level. These restrictions apply regardless of whether the mark has activated.	true	Designates action that will trigger curse on subject.
con	Maze	1 Standa Round action	Close (25 ft. + 5 ft./2 levels)	V,S	see text	one creature	---	Yes	 Sor/Wiz 8	You banish the subject into an extradimensional labyrinth of force planes. Each round on its turn, it may attempt a DC 20 Intelligence check to escape the labyrinth as a full-round action. If the subject doesn't escape, the maze disappears after 10 minutes, forcing the subject to leave.@mynl@On escaping or leaving the maze, the subject reappears where it had been when the maze spell was cast. If this location is filled with a solid object, the subject appears in the nearest open space. Spells and abilities that move a creature within a plane, such as teleport and dimension door, do not help a creature escape a maze spell, although a plane shift spell allows it to exit to whatever plane is designated in that spell. Minotaurs are not affected by this spell.	true	Traps subject in extradimensional maze.
tran	Meld into Stone	1 Standa Round action	personal	V,S,DF	10 min/lvl	you			 Clr 3 Drd 3	Meld into stone enables you to meld your body and possessions into a single block of stone. The stone must be large enough to accommodate your body in all three dimensions. When the casting is complete, you and not more than 100 pounds of nonliving gear merge with the stone. If either condition is violated, the spell fails and is wasted.@mynl@While in the stone, you remain in contact, however tenuous, with the face of the stone through which you melded. You remain aware of the passage of time and can cast spells on yourself while hiding in the stone. Nothing that goes on outside the stone can be seen, but you can still hear what happens around you. Minor physical damage to the stone does not harm you, but its partial destruction (to the extent that you no longer fit within it) expels you and deals you 5d6 points of damage. The stone's complete destruction expels you and slays you instantly unless you make a DC 18 Fortitude save.@mynl@Any time before the duration expires, you can step out of the stone through the surface that you entered. If the spell's duration expires or the effect is dispelled before you voluntarily exit the stone, you are violently expelled and take 5d6 points of damage.@mynl@The following spells harm you if cast upon the stone that you are occupying: Stone to flesh expels you and deals you 5d6 points of damage. Stone shape deals you 3d6 points of damage but does not expel you. Transmute rock to mud expels you and then slays you instantly unless you make a DC 18 Fortitude save, in which case you are merely expelled. Finally, passwall expels you without damage.	true	You and your gear merge with stone.
tran	Mending	1 Standa Round action	10 ft	V,S	instant	one objects of up to 1 lb.	will negates (h/l, objects)	Yes (h/l, objects)	Brd 0 Clr 0 Drd 0 Sor/Wiz 0	Mending repairs small breaks or tears in objects (but not warps, such as might be caused by a warp wood spell). It will weld broken metallic objects such as a ring, a chain link, a medallion, or a slender dagger, providing but one break exists.@mynl@Ceramic or wooden objects with multiple breaks can be invisibly rejoined to be as strong as new. A hole in a leather sack or a wineskin is completely healed over by mending. The spell can repair a magic item, but the item's magical abilities are not restored. The spell cannot mend broken magic rods, staffs, or wands, nor does it affect creatures (including constructs).	true	Makes minor repairs on an object.
tran	Mental Pinnacle	1 Standa Round action	personal	V,S,M	1  Round/lvl	you			 Sor/Wiz 6	You gain the mental powers of a psion.	true	You gain the mental powers of a psion.
tran	Message	1 Standa Round action	Medium (100 ft. + 10 ft./level)	V,S,F	10 min/lvl	one creature/level	---	NO	Brd 0 Sor/Wiz 0	You can whisper messages and receive whispered replies with little chance of being overheard. You point your finger at each creature you want to receive the message. When you whisper, the whispered message is audible to all targeted creatures within range. Magical silence, 1 foot of stone, 1 inch of common metal (or a thin sheet of lead), or 3 feet of wood or dirt blocks the spell. The message does not have to travel in a straight line. It can circumvent a barrier if there is an open path between you and the subject, and the path's entire length lies within the spell's range. The creatures that receive the message can whisper a reply that you hear. The spell transmits sound, not meaning. It doesn't transcend language barriers.@mynl@Note: To speak a message, you must mouth the words and whisper, possibly allowing observers the opportunity to read your lips.@mynl@Focus: A short piece of copper wire.	true	Whispered conversation at distance.
evo	Meteor Swarm	1 Standa Round action	Long (400 ft. + 40 ft./level)	V,S	instant	four 40-ft-radius spreads; see text	--- or Reflex ½; see text	Yes	 Sor/Wiz 9	Meteor swarm is a very powerful and spectacular spell that is similar to fireball in many aspects. When you cast it, four 2- foot-diameter spheres spring from your outstretched hand and streak in straight lines to the spots you select. The meteor spheres leave a fiery trail of sparks.@mynl@If you aim a sphere at a specific creature, you may make a ranged touch attack to strike the target with the meteor. Any creature struck by one of these spheres takes 2d6 points of bludgeoning damage (no save) and receives no saving throw against the sphere's fire damage (see below). If a targeted sphere misses its target, it simply explodes at the nearest corner of the target's space. You may aim more than one meteor at the same target.@mynl@Once a sphere reaches its destination, it explodes in a 40-foot-radius spread, dealing 6d6 points of fire damage to each creature in the area. If a creature is within the area of more than one sphere, it must save separately against each. (Fire resistance applies to each sphere's damage individually.)	true	Four exploding spheres each deal 6d6 fire damage.
abj	Mind Blank	1 Standa Round action	Close (25 ft. + 5 ft./2 levels)	V,S	1 day	one creature	will negates (h/l)	Yes, Harmless	 Sor/Wiz 8	The subject is protected from all devices and spells that detect, influence, or read emotions or thoughts. This spell protects against all mind-affecting spells and effects as well as information gathering by divination spells or effects. Mind blank even foils limited wish, miracle, and wish spells when they are used in such a way as to affect the subject's mind or to gain information about it. In the case of scrying that scans an area the creature is in, such as arcane eye, the spell works but the creature simply isn't detected. Scrying attempts that are targeted specifically at the subject do not work at all.	true	Subject is immune to mental/emotional magic and scrying.
ench	Mind Fog	1 Standa Round action	Medium (100 ft. + 10 ft./level)	V,S	30 min and 2d6  Rounds; see text	fog spreads in 20-ft radius, 20 ft high	will negates	Yes	Brd 5 Sor/Wiz 5	Mind fog produces a bank of thin mist that weakens the mental resistance of those caught in it. Creatures in the mind fog take a -10 competence penalty on Wisdom checks and Will saves. (A creature that successfully saves against the fog is not affected and need not make further saves even if it remains in the fog.) Affected creatures take the penalty as long as they remain in the fog and for 2d6 rounds thereafter. The fog is stationary and lasts for 30 minutes (or until dispersed by wind).@mynl@A moderate wind (11+ mph) disperses the fog in four rounds; a strong wind (21+ mph) disperses the fog in 1 round.@mynl@The fog is thin and does not significantly hamper vision.	true	Subjects in fog get -10 to Wis and Will checks.
con	Minor Creation	1min	0 ft	V,S,M	1 hr/lvl (d)	unattended, nonmagical objects of nonliving plant matter, up to 1 cu. ft/level	---	NO	 Sor/Wiz 4	You create a nonmagical, unattended object of nonliving, vegetable matter. The volume of the item created cannot exceed 1 cubic foot per caster level. You must succeed on an appropriate skill check to make a complex item.@mynl@Attempting to use any created object as a material component causes the spell to fail.@mynl@Material Component: A tiny piece of matter of the same sort of item you plan to create with minor creation.	true	Creates one cloth or wood object.
ill	Minor Image	1 Standa Round action	Long (400 ft. + 40 ft./level)	V,S,F	(c) + 2  Rounds	visual figment that cannot extend beyond four 10-ft cubes + one 10-ft cube/level (s)	will disbelief (if interacted with)	NO	Brd 2 Sor/Wiz 2	This spell functions like silent image, except that minor image includes some minor sounds but not understandable speech.	true	As silent image, plus some sound.
evo	Miracle	1 Standa Round action	see text	V,S,XP,text	see text	see text	see text	Yes	 Clr 9	You don't so much cast a miracle as request one. You state what you would like to have happen and request that your deity (or the power you pray to for spells) intercede.@mynl@A miracle can do any of the following things.@mynl@Duplicate any cleric spell of 8th level or lower (including spells to which you have access because of your domains).@mynl@ Duplicate any other spell of 7th level or lower.@mynl@ Undo the harmful effects of certain spells, such as feeblemind or insanity.@mynl@ Have any effect whose power level is in line with the above effects.@mynl@If the miracle has any of the above effects, casting it has no experience point cost.@mynl@Alternatively, a cleric can make a very powerful request. Casting such a miracle costs the cleric 5,000 XP because of the powerful divine energies involved. Examples of especially powerful miracles of this sort could include the following.@mynl@Swinging the tide of a battle in your favor by raising fallen allies to continue fighting.@mynl@ Moving you and your allies, with all your and their gear, from one plane to another through planar barriers to a specific locale with no chance of error.@mynl@ Protecting a city from an earthquake, volcanic eruption, flood, or other major natural disaster.@mynl@In any event, a request that is out of line with the deity's (or alignment's) nature is refused.@mynl@A duplicated spell allows saving throws and spell resistance as normal, but the save DCs are as for a 9th-level spell. When a miracle duplicates a spell that has an XP cost, you must pay that cost. When a miracle spell duplicates a spell with a material component that costs more than 100 gp, you must provide that component.@mynl@XP Cost: 5,000 XP (for some uses of the miracle spell; see above).	true	Requests a deity's intercession.
ill	Mirage Arcana	1 Standa Round action	Long (400 ft. + 40 ft./level)	V,S	(c) + 1 hr/lvl (d)	one 20-ft cube/level (s)	will disbelief (if interacted with)	NO	Brd 5 Sor/Wiz 5	This spell functions like hallucinatory terrain, except that it enables you to make any area appear to be something other than it is. The illusion includes audible, visual, tactile, and olfactory elements. Unlike hallucinatory terrain, the spell can alter the appearance of structures (or add them where none are present). Still, it can't disguise, conceal, or add creatures (though creatures within the area might hide themselves within the illusion just as they can hide themselves within a real location).	true	As hallucinatory terrain, plus structures.
ill	Mirror Image	1 Standa Round action	personal; see text	V,S	1 min/lvl (d)	you			Brd 2 Sor/Wiz 2	Several illusory duplicates of you pop into being, making it difficult for enemies to know which target to attack. The figments stay near you and disappear when struck.@mynl@Mirror image creates 1d4 images plus one image per three caster levels (maximum eight images total). These figments separate from you and remain in a cluster, each within 5 feet of at least one other figment or you. You can move into and through a mirror image. When you and the mirror image separate, observers can't use vision or hearing to tell which one is you and which the image. The figments may also move through each other. The figments mimic your actions, pretending to cast spells when you cast a spell, drink potions when you drink a potion, levitate when you levitate, and so on.@mynl@Enemies attempting to attack you or cast spells at you must select from among indistinguishable targets. Generally, roll randomly to see whether the selected target is real or a figment. Any successful attack against an image destroys it. An image's AC is 10 + your size modifier + your Dex modifier. Figments seem to react normally to area spells (such as looking like they're burned or dead after being hit by a fireball).@mynl@While moving, you can merge with and split off from figments so that enemies who have learned which image is real are again confounded.@mynl@An attacker must be able to see the images to be fooled. If you are invisible or an attacker shuts his or her eyes, the spell has no effect. (Being unable to see carries the same penalties as being blinded.)	true	Creates decoy duplicates of you (1d4 +1 per three levels, max 8).
ill	Misdirection	1 Standa Round action	Close (25 ft. + 5 ft./2 levels)	V,S	1 hr/lvl	one creature or objects, up to a 10-ft cube in size	--- or will negates; see text	NO	Brd 2 Sor/Wiz 2	By means of this spell, you misdirect the information from divination spells that reveal auras (detect evil, detect magic, discern lies, and the like). On casting the spell, you choose another object within range. For the duration of the spell, the subject of misdirection is detected as if it were the other object. (Neither the subject nor the other object gets a saving throw against this effect.) Detection spells provide information based on the second object rather than on the actual target of the detection unless the caster of the detection succeeds on a Will save. For instance, you could make yourself detect as a tree if one were within range at casting: not evil, not lying, not magical, neutral in alignment, and so forth. This spell does not affect other types of divination magic (augury, detect thoughts, clairaudience/clairvoyance, and the like).	true	Misleads divinations for one creature or object.
ill	Mislead	s	1 standard action		you/one illusory double	target/effect	1 round/level (d) & concentration + 3 rounds; see text	NONOe or will disbelief (if iNOteracted with); see text		You become invisible (as greater invisibility, a glamer), and at the same time, an illusory double of you (as major image, a figment) appears. You are then free to go elsewhere while your double moves away. The double appears within range but thereafter moves as you direct it (which requires concentration beginning on the first round after the casting). You can make the figment appear superimposed perfectly over your own body so that observers don't notice an image appearing and you turning invisible. You and the figment can then move in different directions. The double moves at your speed and can talk and gesture as if it were real, but it cannot attack or cast spells, though it can pretend to do so.@mynl@The illusory double lasts as long as you concentrate upon it, plus 3 additional rounds. After you cease concentration, the illusory double continues to carry out the same activity until the duration expires. The greater invisibility lasts for 1 round per level, regardless of concentration.	true	No
ench	Modify Memory	1 Round;seetext	Close (25 ft. + 5 ft./2 levels)	V,S	permanent	one living creature	will negates	Yes	Brd 4	You reach into the subject's mind and modify as many as 5 minutes of its memories in one of the following ways.@mynl@Eliminate all memory of an event the subject actually experienced. This spell cannot negate charm, geas/quest, suggestion, or similar spells.@mynl@ Allow the subject to recall with perfect clarity an event it actually experienced.@mynl@ Change the details of an event the subject actually experienced.@mynl@ Implant a memory of an event the subject never experienced.@mynl@Casting the spell takes 1 round. If the subject fails to save, you proceed with the spell by spending as much as 5 minutes (a period of time equal to the amount of memory time you want to modify) visualizing the memory you wish to modify in the subject. If your concentration is disturbed before the visualization is complete, or if the subject is ever beyond the spell's range during this time, the spell is lost.@mynl@A modified memory does not necessarily affect the subject's actions, particularly if it contradicts the creature's natural inclinations. An illogical modified memory is dismissed by the creature as a bad dream or a memory muddied by too much wine.	true	Changes 5 minutes of subjects memories.
div	Moment of Prescience	1 Standa Round action	personal	V,S	1 hr/lvl or until dis	you			 Sor/Wiz 8	This spell grants you a powerful sixth sense in relation to yourself. Once during the spell's duration, you may choose to use its effect. This spell grants you an insight bonus equal to your caster level (maximum +25) on any single attack roll, opposed ability or skill check, or saving throw. Alternatively, you can apply the insight bonus to your AC against a single attack (even if flatfooted). Activating the effect doesn't take an action; you can even activate it on another character's turn if needed. You must choose to use the moment of prescience before you make the roll it is to modify. Once used, the spell ends.@mynl@You can't have more than one moment of prescience active on you at the same time.	true	You gain insight bonus on single attack roll, check, or save.
con	Mount	1 Round	Close (25 ft. + 5 ft./2 levels)	V,S,M	2 hrs/lvl (d)	one mount	---	NO	 Sor/Wiz 1	You summon a light horse or a pony (your choice) to serve you as a mount. The steed serves willingly and well. The mount comes with a bit and bridle and a riding saddle.@mynl@Material Component: A bit of horse hair.	true	Summons riding horse for 2 hours/level.
tran	Move Earth	seetext	Long (400 ft. + 40 ft./level)	V,S,M	instant	dirt in an area up to 750 ft square and up to 10 ft deep (s)	---	NO	 Drd 6 Sor/Wiz 6	Move earth moves dirt (clay, loam, sand), possibly collapsing embankments, moving hillocks, shifting dunes, and so forth.@mynl@However, in no event can rock formations be collapsed or moved. The area to be affected determines the casting time. For every 150-foot square (up to 10 feet deep), casting takes 10 minutes. The maximum area, 750 feet by 750 feet, takes 4 hours and 10 minutes to move.@mynl@This spell does not violently break the surface of the ground. Instead, it creates wavelike crests and troughs, with the earth reacting with glacierlike fluidity until the desired result is achieved. Trees, structures, rock formations, and such are mostly unaffected except for changes in elevation and relative topography.@mynl@The spell cannot be used for tunneling and is generally too slow to trap or bury creatures. Its primary use is for digging or filling moats or for adjusting terrain contours before a battle.@mynl@This spell has no effect on earth creatures.@mynl@Material Component: A mixture of soils (clay, loam, and sand) in a small bag, and an iron blade.	true	Digs trenches and builds hills.
con	Neutralize Poison	1 Standa Round action	touch	V,S,M/DF	10 min/lvl	creature or objects of up to 1 cu. ft/level touched	will negates (h/l, objects)	Yes (h/l, objects)	Brd 4 Clr 4 Drd 3 Pal 4	You detoxify any sort of venom in the creature or object touched. A poisoned creature suffers no additional effects from the poison, and any temporary effects are ended, but the spell does not reverse instantaneous effects, such as hit point damage, temporary ability damage, or effects that don't go away on their own.@mynl@The creature is immune to any poison it is exposed to during the duration of the spell. Unlike with delay poison, such effects aren't postponed until after the duration  - the creature need not make any saves against poison effects applied to it during the length of the spell.@mynl@This spell can instead neutralize the poison in a poisonous creature or object for the duration of the spell, at the caster's option.@mynl@Arcane Material Component: A bit of charcoal.	true	Immunizes subject against poison, detoxifies venom in or on subject.
ill	Nightmare	10min	unlimited	V,S	instant	one living creature	will negates; see text	Yes	Brd 5 Sor/Wiz 5	You send a hideous and unsettling phantasmal vision to a specific creature that you name or otherwise specifically designate.@mynl@The nightmare prevents restful sleep and causes 1d10 points of damage. The nightmare leaves the subject fatigued and unable to regain arcane spells for the next 24 hours.@mynl@The difficulty of the save depends on how well you know the subject and what sort of physical connection (if any) you have to that creature.@mynl@Knowledge - Will Save Modifier@mynl@None* - +10@mynl@Secondhand (you have heard of the subject) - +5@mynl@Firsthand (you have met the subject) - +0@mynl@Familiar (you know the subject well) - -5@mynl@* You must have some sort of connection to a creature you have no knowledge of.@mynl@Connection - Will Save Modifier@mynl@Likeness or picture - -2@mynl@Possession or garment - -4@mynl@Body part, lock of hair, bit of nail, etc. - -10@mynl@Dispel evil cast on the subject while you are casting the spell dispels the nightmare and causes you to be stunned for 10 minutes per caster level of the dispel evil.@mynl@If the recipient is awake when the spell begins, you can choose to cease casting (ending the spell) or to enter a trance until the recipient goes to sleep, whereupon you become alert again and complete the casting. If you are disturbed during the trance, you must succeed on a Concentration check as if you were in the midst of casting a spell or the spell ends.@mynl@If you choose to enter a trance, you are not aware of your surroundings or the activities around you while in the trance.@mynl@You are defenseless, both physically and mentally, while in the trance. (You always fail any saving throw, for example.)@mynl@Creatures who don't sleep (such as elves, but not half-elves) or dream are immune to this spell.	true	Sends vision dealing 1d10 damage, fatigue.
abj	Nondetection	1 Standa Round action	touch	V,S,M	1 hr/lvl	creature or objects touched	will negates (h/l, objects)	Yes (h/l, objects)	 Sor/Wiz 3	The warded creature or object becomes difficult to detect by divination spells such as clairaudience/clairvoyance, locate object, and detect spells. Nondetection also prevents location by such magic items as crystal balls. If a divination is attempted against the warded creature or item, the caster of the divination must succeed on a caster level check (1d20 + caster level) against a DC of 11 + the caster level of the spellcaster who cast nondetection. If you cast nondetection on yourself or on an item currently in your possession, the DC is 15 + your caster level.@mynl@If cast on a creature, nondetection wards the creature's gear as well as the creature itself.@mynl@Material Component: A pinch of diamond dust worth 50 gp.	true	Hides subject from divination, scrying.
abj	Obscure Object	1 Standa Round action	touch	V,S,M/DF	8 hrs (d)	one objects touched of up to 100 lb./level	will negates (objects)	Yes (objects)	Brd 1 Clr 3 Sor/Wiz 2	This spell hides an object from location by divination (scrying) effects, such as the scrying spell or a crystal ball. Such an attempt automatically fails (if the divination is targeted on the object) or fails to perceive the object (if the divination is targeted on a nearby location, object, or person).@mynl@Arcane Material Component: A piece of chameleon skin.	true	Masks object against scrying.
con	Obscuring Mist	1 Standa Round action	20 ft	V,S	1 min/lvl	cloud spreads in 20-ft radius from you, 20 ft high	---	NO	 Clr 1 Drd 1 Sor/Wiz 1	A misty vapor arises around you. It is stationary once created. The vapor obscures all sight, including darkvision, beyond 5 feet. A creature 5 feet away has concealment (attacks have a 20% miss chance). Creatures farther away have total concealment (50% miss chance, and the attacker cannot use sight to locate the target).@mynl@A moderate wind (11+ mph), such as from a gust of wind spell, disperses the fog in 4 rounds. A strong wind (21+ mph) disperses the fog in 1 round. A fireball, flame strike, or similar spell burns away the fog in the explosive or fiery spell's area. A wall of fire burns away the fog in the area into which it deals damage.@mynl@This spell does not function underwater.	true	Fog surrounds you.
tran	Open/Close	1 Standa Round action	Close (25 ft. + 5 ft./2 levels)	V,S,F	instant	objects weighing up to 30 lb. or portal that can be opened or closed	will negates (objects)	Yes (objects)	Brd 0 Sor/Wiz 0	You can open or close (your choice) a door, chest, box, window, bag, pouch, bottle, barrel, or other container. If anything resists this activity (such as a bar on a door or a lock on a chest), the spell fails. In addition, the spell can only open and close things weighing 30 pounds or less. Thus, doors, chests, and similar objects sized for enormous creatures may be beyond this spell's ability to affect.@mynl@Focus: A brass key.	true	Opens or closes small or light things.
